NewQuestion,MC,
QuestionText,"Gaussian Naive Bayes is most appropriate when features are:",
Option,100,"Continuous (approximately normal per class)",
Option,0,"Binary indicators only",
Option,0,"Token counts only",
Option,0,"Always categorical strings",

NewQuestion,MC,
QuestionText,"Multinomial Naive Bayes is most naturally suited to:",
Option,0,"Continuous sensor readings",
Option,0,"Binary flags only",
Option,0,"Regression targets only",
Option,100,"Count-based features (common in text)",

NewQuestion,MC,
QuestionText,"Bernoulli Naive Bayes is most naturally suited to:",
Option,0,"Continuous features only",
Option,100,"Binary features (0/1)",
Option,0,"Regression targets only",
Option,0,"Tree splits only",

NewQuestion,MC,
QuestionText,""Smoothing" in Naive Bayes primarily helps with:",
Option,0,"Removing the need for train/test splits",
Option,0,"Guaranteeing linear decision boundaries",
Option,100,"Avoiding zero probabilities for unseen events",
Option,0,"Converting regression to classification",

NewQuestion,MC,
QuestionText,"If a model performs poorly on both training and test sets, the most likely diagnosis is:",
Option,100,"Underfitting",
Option,0,"Overfitting",
Option,0,"Perfect fit",
Option,0,"OvR failure",

NewQuestion,MC,
QuestionText,"In linear models, the intercept term primarily represents:",
Option,0,"The slope for the first feature",
Option,100,"The prediction when all features are zero (baseline offset)",
Option,0,"The test accuracy",
Option,0,"The number of classes",

NewQuestion,MS,
QuestionText,"Which statements about Ridge vs Lasso are true? (Select all that apply)",
Option,1,"Ridge uses L2 regularization",
Option,1,"Lasso uses L1 regularization",
Option,1,"Lasso can set coefficients exactly to zero",
Option,0,"Ridge typically sets many coefficients exactly to zero",

NewQuestion,MS,
QuestionText,"Increasing Ridge alpha generally: (Select all that apply)",
Option,1,"Increases regularization strength",
Option,1,"Shrinks coefficients more strongly",
Option,0,"Makes the model more flexible",
Option,1,"Can reduce overfitting",

NewQuestion,MS,
QuestionText,"Increasing C in LogisticRegression / LinearSVC generally: (Select all that apply)",
Option,1,"Decreases regularization strength",
Option,1,"Can increase risk of overfitting",
Option,0,"Forces coefficients to zero",
Option,1,"Can fit the training data more closely",

NewQuestion,MS,
QuestionText,"Which are valid reasons coefficient interpretation can be misleading? (Select all that apply)",
Option,1,"Correlated features can lead to unstable coefficient estimates",
Option,1,"Coefficients can change with different regularization strengths",
Option,0,"Coefficients are always identical across data splits",
Option,1,"Sign flips can occur in some settings",

NewQuestion,MS,
QuestionText,"Which are linear classification models discussed? (Select all that apply)",
Option,1,"LogisticRegression",
Option,1,"LinearSVC",
Option,0,"DecisionTreeClassifier",
Option,0,"MultinomialNB",

NewQuestion,MS,
QuestionText,"Which statements about OvR multiclass are true? (Select all that apply)",
Option,1,"It trains one classifier per class vs the rest",
Option,1,"It produces one set of coefficients per class (in linear models)",
Option,0,"It requires a separate model per feature",
Option,0,"It is only available for regression",

NewQuestion,MS,
QuestionText,"Which scikit-learn actions are part of a standard supervised workflow? (Select all that apply)",
Option,1,".fit(X_train, y_train)",
Option,1,".predict(X_test)",
Option,1,".score(X_test, y_test)",
Option,0,".cluster(X)",

NewQuestion,MS,
QuestionText,"Which Naive Bayes variant-to-feature mappings are correct? (Select all that apply)",
Option,1,"GaussianNB → continuous features",
Option,1,"BernoulliNB → binary features",
Option,1,"MultinomialNB → count features",
Option,0,"GaussianNB → binary features only",

NewQuestion,MS,
QuestionText,"Which are true about regularization in linear models? (Select all that apply)",
Option,1,"It discourages overly large coefficients",
Option,1,"It can reduce overfitting",
Option,0,"It always improves test performance",
Option,1,"It is controlled by alpha in Ridge/Lasso/ElasticNet",

NewQuestion,MS,
QuestionText,"Which are legitimate symptoms of overfitting? (Select all that apply)",
Option,1,"Training score much higher than test score",
Option,0,"Test score much higher than training score (consistently)",
Option,1,"High variance in performance across different splits/settings",
Option,1,"Very complex model relative to data",

