NewQuestion,MC,
Option,0,"statsmodels",

NewQuestion,MC,
QuestionText,"Chapter 1.6 notes that datasets for examples are hosted primarily in:",
Option,0,"A private Dropbox folder",
Option,100,"A GitHub repository (with a Gitee mirror mentioned)",
Option,0,"An email attachment per chapter",
Option,0,"A printed appendix only",

NewQuestion,MC,
QuestionText,"Chapter 1's setup guidance warns that mixing package managers can cause problems, especially:",
Option,0,"Mixing Word and PDF exports",
Option,100,"Updating conda-installed packages using pip (and vice versa)",
Option,0,"Using multiple monitors",
Option,0,"Using comments in code",

NewQuestion,MC,
QuestionText,"In Chapter 2, Python is described as an interpreted language because it:",
Option,0,"Converts code to assembly before running",
Option,100,"Executes statements one at a time through the interpreter",
Option,0,"Requires a compiler step for every script",
Option,0,"Can only run in a browser",

NewQuestion,MC,
QuestionText,"In the standard interactive Python interpreter, the prompt shown before you type expressions is typically:",
Option,0,"$",
Option,100,">>>",
Option,0,"###",
Option,0,":::",

NewQuestion,MC,
QuestionText,"Running a Python script from the command line is described as calling python with:",
Option,0,"The folder name as the first argument",
Option,100,"A .py file as the first argument",
Option,0,"A .txt file as the first argument",
Option,0,"A .docx file as the first argument",

NewQuestion,MC,
QuestionText,"Chapter 2 distinguishes IPython from the standard Python shell by describing IPython as:",
Option,0,"A web server",
Option,100,"An enhanced Python interpreter",
Option,0,"A replacement for pandas",
Option,0,"A database engine",

NewQuestion,MC,
QuestionText,"In a Jupyter notebook, executing a code cell is commonly done with:",
Option,0,"Ctrl-P",
Option,0,"Alt-Tab",
Option,100,"Shift-Enter",
Option,0,"Esc-Enter",

NewQuestion,MC,
QuestionText,"Chapter 2 warns that if you only close the browser tab for a notebook:",
Option,0,"The notebook file is deleted",
Option,0,"The computer restarts",
Option,100,"The Python process may keep running in the background",
Option,0,"The kernel is automatically upgraded",

NewQuestion,MC,
QuestionText,"Tab completion in IPython is highlighted as especially useful for:",
Option,0,"Encrypting files",
Option,100,"Completing variable names, attributes/methods, file paths, and even keyword arguments",
Option,0,"Compiling Python to C",
Option,0,"Automatically grading assignments",

NewQuestion,MC,
QuestionText,"By default, IPython tab completion hides:",
Option,0,"All built-in functions",
Option,100,"Methods/attributes starting with underscores",
Option,0,"All user-defined variables",
Option,0,"All numeric variables",

NewQuestion,MC,
QuestionText,"Chapter 2 describes introspection using a question mark (?) as a way to:",
Option,0,"Convert strings to integers",
Option,100,"Display information about an object (type, docstring, etc.)",
Option,0,"Restart the kernel",
Option,0,"Install packages",

NewQuestion,MC,
QuestionText,"Chapter 2 shows that "?" can also be used to:",
Option,0,"Delete a variable",
Option,100,"Search the IPython namespace using wildcards like *",
Option,0,"Run a notebook without outputs",
Option,0,"Convert Python to Java",

NewQuestion,MC,
QuestionText,"The book describes Python's design as emphasizing:",
Option,0,"Obfuscation and brevity above all",
Option,100,"Readability, simplicity, and explicitness",
Option,0,"Mandatory type declarations on every variable",
Option,0,"Braces for all blocks",

NewQuestion,MC,
QuestionText,"Python uses ______ to structure code blocks rather than braces.",
Option,0,"Parentheses",
Option,0,"Semicolons",
Option,100,"Indentation (whitespace)",
Option,0,"Quotation marks",

NewQuestion,MC,
QuestionText,"In Python, a colon (:) typically indicates:",
Option,0,"End of a file",
Option,100,"Start of an indented block",
Option,0,"A comment",
Option,0,"A string literal",

NewQuestion,MC,
QuestionText,"Chapter 2 strongly recommends using ____ spaces for indentation.",
Option,0,"Two",
Option,100,"Four",
Option,0,"Six",
Option,0,"Eight",

NewQuestion,MC,
QuestionText,"Chapter 2 notes that semicolons are:",
Option,0,"Required at the end of every statement",
Option,100,"Not required; sometimes used to separate multiple statements on one line",
Option,0,"Required only in Jupyter notebooks",
Option,0,"Used to start code blocks",

NewQuestion,MC,
QuestionText,"Chapter 2 describes "Everything is an object" to mean that:",
Option,0,"Only numbers are objects",
Option,0,"Only strings are objects",
Option,100,"Numbers, strings, functions, modules, and more exist as Python objects with types",
Option,0,"Objects only exist inside pandas",

NewQuestion,MC,
QuestionText,"In Python, comments are indicated by:",
Option,0,"//",
Option,100,"#",
Option,0,"<!-- -->",
Option,0,"**",

NewQuestion,MC,
QuestionText,"Chapter 2 describes Python as "strongly typed" in the sense that:",
Option,0,"Variables must be declared with types",
Option,100,"Implicit casts (like '5' + 5) are not generally allowed",
Option,0,"All numbers are stored as strings",
Option,0,"Every list must be homogeneous",

NewQuestion,MC,
QuestionText,"The function used to check whether an object is an instance of a type is:",
Option,0,"typecheck()",
Option,100,"isinstance()",
Option,0,"classof()",
Option,0,"assert_type()",

NewQuestion,MC,
QuestionText,"In Chapter 2, attributes and methods are accessed using:",
Option,0,"Square brackets only",
Option,100,"Dot notation (obj.attribute)",
Option,0,"Curly braces",
Option,0,"The @ symbol",

NewQuestion,MC,
QuestionText,"In imports, the "as" keyword is used to:",
Option,0,"Install a package",
Option,100,"Give an imported module or name an alias",
Option,0,"Create a new environment",
Option,0,"Convert a string to bytes",

NewQuestion,MC,
QuestionText,"The operator "//" is described as:",
Option,0,"Exponentiation",
Option,100,"Floor division (dropping any fractional remainder)",
Option,0,"String concatenation",
Option,0,"Bitwise exclusive-or",

NewQuestion,MC,
QuestionText,"The operator "is" is used to test whether:",
Option,0,"Two values are numerically equal",
Option,100,"Two variables reference the same Python object",
Option,0,"A string contains a substring",
Option,0,"A loop should continue",

NewQuestion,MC,
QuestionText,"In Chapter 2, assigning b = a (where a is a list) means:",
Option,0,"b is a copy of a with independent data",
Option,100,"b references the same list object as a",
Option,0,"b becomes a tuple",
Option,0,"a is deleted",

NewQuestion,MC,
QuestionText,"The chapter distinguishes "mutable" objects as ones that:",
Option,0,"Cannot be changed after creation",
Option,100,"Can be modified in place",
Option,0,"Can only store numbers",
Option,0,"Must be copied before use",

NewQuestion,MC,
QuestionText,"Strings are presented as an example of:",
Option,0,"A mutable sequence",
Option,100,"An immutable type",
Option,0,"A numeric scalar",
Option,0,"A list subtype",

NewQuestion,MC,
QuestionText,"If you try to assign into a string by index (like s[0] = 'x'), Chapter 2 shows you will get:",
Option,0,"A warning only",
Option,100,"An error because strings do not support item assignment",
Option,0,"Automatic conversion to a list",
Option,0,"Silent success",

NewQuestion,MC,
QuestionText,"The string method emphasized for creating a modified string without changing the original is:",
Option,0,"append()",
Option,100,"replace()",
Option,0,"push()",
Option,0,"mutate()",

NewQuestion,MC,
QuestionText,"Chapter 2 describes slicing like s[:3] as:",
Option,0,"A way to permanently shrink a string object",
Option,100,"A common sequence operation used across many Python sequence types",
Option,0,"A way to convert strings to integers",
Option,0,"A way to encrypt text",

NewQuestion,MC,
QuestionText,"In Chapter 2, the backslash (\) in strings is described as:",
Option,0,"A comment marker",
Option,0,"A multiplication operator",
Option,100,"An escape character for special sequences like \n",
Option,0,"A required line terminator",

NewQuestion,MC,
QuestionText,"A raw string literal is created by prefixing the string with:",
Option,0,"u",
Option,100,"r",
Option,0,"f",
Option,0,"b",

NewQuestion,MC,
QuestionText,"Adding two strings together results in:",
Option,0,"A list of characters",
Option,0,"A tuple of strings",
Option,100,"Concatenation into a new string",
Option,0,"An integer length",

NewQuestion,MC,
QuestionText,"The method described for string templating/formatting is:",
Option,0,"build()",
Option,100,"format()",
Option,0,"template()",
Option,0,"stitch()",

NewQuestion,MC,
QuestionText,"f-strings are described as:",
Option,0,"A way to store files in a folder",
Option,100,"Formatted string literals introduced in Python 3.6",
Option,0,"A replacement for comments",
Option,0,"A plotting feature in matplotlib",

NewQuestion,MC,
QuestionText,"In modern Python (3.x), the first-class string type is:",
Option,0,"bytes",
Option,100,"Unicode str",
Option,0,"ASCII-only char",
Option,0,"float",

NewQuestion,MC,
QuestionText,"Converting a Unicode string to UTF-8 bytes is done using:",
Option,0,"decode("utf-8")",
Option,100,"encode("utf-8")",
Option,0,"cast("utf-8")",
Option,0,"bytes("utf-8")",

NewQuestion,MC,
QuestionText,"Converting bytes back to a Unicode string (given the encoding) uses:",
Option,0,"encode()",
Option,100,"decode()",
Option,0,"stringify()",
Option,0,"utf8()",

NewQuestion,MC,
QuestionText,"The two Boolean values in Python are written as:",
Option,0,"YES and NO",
Option,0,"true and false",
Option,100,"True and False",
Option,0,"T and F",

NewQuestion,MC,
QuestionText,"Boolean values are combined with keywords like:",
Option,0,"plus and minus",
Option,100,"and and or",
Option,0,"join and split",
Option,0,"map and filter",

NewQuestion,MC,
QuestionText,"In Chapter 2, converting False and True to integers yields:",
Option,0,"False→1, True→0",
Option,100,"False→0, True→1",
Option,0,"False→-1, True→-2",
Option,0,"False→None, True→1",

NewQuestion,MC,
QuestionText,"The keyword that flips a Boolean value is:",
Option,0,"invert",
Option,100,"not",
Option,0,"flip",
Option,0,"opposite",

NewQuestion,MC,
QuestionText,"Chapter 2 describes str, bool, int, and float as also being usable for:",
Option,0,"Creating plots",
Option,100,"Type casting values",
Option,0,"Installing packages",
Option,0,"Sorting lists automatically",

NewQuestion,MC,
QuestionText,"In Chapter 2, None is described as:",
Option,0,"An empty string",
Option,0,"The number 0",
Option,100,"The Python "null" value",
Option,0,"A special kind of list",

NewQuestion,MC,
QuestionText,"Chapter 2 notes that None is commonly used as:",
Option,0,"A required loop keyword",
Option,100,"A default value for function arguments",
Option,0,"A plotting style",
Option,0,"A file format",

NewQuestion,MC,
QuestionText,"The datetime module provides types including:",
Option,0,"tick, tock, and now",
Option,100,"datetime, date, and time",
Option,0,"day, month, and year",
Option,0,"seconds, minutes, and hours",

NewQuestion,MC,
QuestionText,"Chapter 2 notes that datetime.datetime is:",
Option,0,"Mutable and modified in place by methods",
Option,100,"Immutable, so methods like replace produce new objects",
Option,0,"Only used inside pandas",
Option,0,"A synonym for strings",

NewQuestion,MC,
QuestionText,"The method used to format a datetime as a string is:",
Option,0,"strptime",
Option,100,"strftime",
Option,0,"timeformat",
Option,0,"stringify",

NewQuestion,MC,
QuestionText,"The function used to parse a string into a datetime is:",
Option,0,"strftime",
Option,100,"strptime",
Option,0,"parse_time",
Option,0,"to_datetime",

NewQuestion,MC,
QuestionText,"In an if/elif/else chain, Chapter 2 states that:",
Option,0,"All conditions are always evaluated",
Option,100,"Once a condition is True, later elif/else blocks are not reached",
Option,0,"else blocks run first",
Option,0,"elif blocks must be last",

NewQuestion,MC,
QuestionText,"Chapter 2 describes short-circuit evaluation for and/or as:",
Option,0,"Evaluating right to left only",
Option,100,"Evaluating left to right and sometimes skipping later conditions",
Option,0,"Always evaluating every condition twice",
Option,0,"Evaluating conditions randomly",

NewQuestion,MC,
QuestionText,"Which of the following is a prime number?",
Option,0,"4",
Option,100,"5",
Option,0,"6",

