NewQuestion,MC,
Option,0,"Predicting a continuous numeric value from text",
Option,100,"Classifying the species of an iris flower from measurements",
Option,0,"Clustering game titles by publisher without labels",
Option,0,"Compressing images without any labels",

NewQuestion,MC,
QuestionText,"In a typical dataset representation, rows (samples) and columns (features) correspond to which shapes?",
Option,0,"X is 1D and y is 2D",
Option,0,"X is 3D and y is 3D",
Option,100,"X is usually 2D (n_samples × n_features) and y is usually 1D (n_samples)",
Option,0,"X is a single number and y is always a string",

NewQuestion,MC,
QuestionText,"Which of the following best describes classification (as introduced in this chapter)?",
Option,100,"Predicting a discrete category label (for example, class A vs class B)",
Option,0,"Predicting a continuous numeric value (for example, price)",
Option,0,"Finding groups in data without labels",
Option,0,"Reducing the number of features without losing information",

NewQuestion,MC,
QuestionText,"Which of the following best describes regression (as introduced in this chapter)?",
Option,0,"Predicting a category label from images",
Option,0,"Grouping customers into clusters without labels",
Option,0,"Counting the number of columns in a dataset",
Option,100,"Predicting a continuous numeric value (for example, temperature)",

NewQuestion,MC,
QuestionText,"What does the "k" in k-nearest neighbors refer to?",
Option,0,"The number of features in the dataset",
Option,100,"The number of nearest training points used to make a prediction",
Option,0,"The number of classes in the dataset",
Option,0,"The number of times the model is trained",

NewQuestion,MC,
QuestionText,"Why does the chapter emphasize inspecting or visualizing data before modeling?",
Option,0,"Because models cannot train without plots",
Option,0,"Because visualization automatically improves accuracy",
Option,100,"Because it helps detect structure, scale issues, and potential problems early",
Option,0,"Because it converts categorical variables into numeric variables",

NewQuestion,MC,
QuestionText,"A key limitation of plotting for understanding datasets is:",
Option,0,"Plots only work with categorical data",
Option,0,"Plots are always inaccurate representations of data",
Option,100,"Many datasets have more dimensions than can be directly visualized",
Option,0,"Plots prevent the use of train/test splitting",

NewQuestion,MC,
QuestionText,"In an introductory workflow, why is a simple baseline model useful?",
Option,100,"It provides a reference point to compare more complex models against",
Option,0,"It guarantees the best possible accuracy",
Option,0,"It removes the need to evaluate performance",
Option,0,"It eliminates the need for any data preprocessing",

NewQuestion,MC,
QuestionText,"When a model performs very well on training data but poorly on test data, this is most consistent with:",
Option,0,"Underfitting",
Option,0,"Correct generalization",
Option,100,"Overfitting",
Option,0,"Data encryption",

NewQuestion,MC,
QuestionText,"Which statement best summarizes the role of the "test set" in this chapter's workflow?",
Option,0,"It is used to choose feature names and column labels",
Option,100,"It is held out during training and used for an unbiased evaluation of performance",
Option,0,"It is used to make the training set larger",
Option,0,"It is used to shuffle the dataset repeatedly until accuracy improves",

